task_id,subtask_id,fragment,locator,allowlist,blocklist,depends_on
P0001,,sources/piece-01/score.mei,measure-zones,,,
P0001,S0001,sources/piece-01/score.mei,measure-zones,,,
T0001,,sources/piece-01/score.mei,surface-1,,,P0001
T0001,S0001,sources/piece-01/score.mei,surface-1,,,
T0002,,sources/piece-01/score.mei,surface-2,,,P0001
T0002,S0001,sources/piece-01/score.mei,surface-2,,,
T0003,,sources/piece-01/score.mei,surface-3,,,P0001
T0003,S0001,sources/piece-01/score.mei,surface-3,,,
T0004,,sources/piece-01/score.mei,surface-4,,,P0001
T0004,S0001,sources/piece-01/score.mei,surface-4,,,
T0005,,sources/piece-01/score.mei,surface-5,,,P0001
T0005,S0001,sources/piece-01/score.mei,surface-5,,,
T0006,,sources/piece-01/score.mei,surface-6,,,P0001
T0006,S0001,sources/piece-01/score.mei,surface-6,,,
T0007,,sources/piece-01/score.mei,surface-7,,,P0001
T0007,S0001,sources/piece-01/score.mei,surface-7,,,
T0008,,sources/piece-01/score.mei,surface-8,,,P0001
T0008,S0001,sources/piece-01/score.mei,surface-8,,,
T0009,,sources/piece-01/score.mei,surface-9,,,P0001
T0009,S0001,sources/piece-01/score.mei,surface-9,,,
T0010,,sources/piece-01/score.mei,surface-10,,,P0001
T0010,S0001,sources/piece-01/score.mei,surface-10,,,
T0011,,sources/piece-01/score.mei,surface-11,,,P0001
T0011,S0001,sources/piece-01/score.mei,surface-11,,,
T0012,,sources/piece-01/score.mei,surface-12,,,P0001
T0012,S0001,sources/piece-01/score.mei,surface-12,,,
